gtbboxid,classid,imageid,lx,rx,ty,by,difficult,split
3361,3362,1380,0.9141,0.9953,0.5906,0.7359,0,train
3362,3363,1381,0.0000,0.7188,0.0000,0.5000,0,train
3363,3364,1382,0.0000,0.8781,0.0000,0.9984,0,train
3364,3365,1383,0.3301,0.7559,0.2633,0.6914,0,train
3365,3366,1383,0.6629,0.9996,0.0750,0.7641,0,train
3366,3367,1384,0.0000,0.0594,0.3586,0.6508,0,train
3367,3368,1384,0.0648,0.3773,0.1969,0.7203,0,train
3368,3369,1384,0.1945,0.4367,0.2867,0.7867,0,train
3369,3370,1384,0.3422,0.5047,0.3406,0.8672,0,train
3370,3371,1384,0.4824,0.9520,0.0687,0.9437,0,train
3371,3372,1384,0.9168,0.9988,0.0742,0.9992,0,train
3372,3373,1385,0.0203,0.9984,0.5742,0.9992,0,train
3373,3374,1386,0.0000,0.2625,0.0000,0.8469,0,train
3374,3375,1386,0.1672,0.3922,0.0000,0.8031,0,train
3375,3376,1386,0.3828,0.4109,0.5035,0.7137,0,train
3376,3377,1386,0.4113,0.4309,0.5844,0.7156,0,train
3377,3378,1386,0.4344,0.4891,0.3344,0.7281,0,train
3378,3379,1386,0.4766,0.6141,0.0000,0.7625,0,train
3379,3380,1386,0.5582,0.9996,0.0004,0.8574,0,train
3380,3381,1387,0.0000,0.9281,0.2000,0.9766,0,train
3381,3382,1388,0.0000,0.2984,0.0004,0.9605,0,train
3382,3383,1389,0.0000,0.4281,0.0000,0.9109,0,train
3383,3384,1389,0.2812,0.5781,0.0000,0.7391,0,train
3384,3385,1389,0.4641,0.7469,0.0031,0.7578,0,train
3385,3386,1389,0.7250,0.8219,0.2172,0.7484,0,train
3386,3387,1389,0.8078,0.8891,0.3500,0.7016,0,train
3387,3388,1389,0.8438,0.9547,0.4734,0.7031,0,train
3388,3389,1389,0.8688,0.9984,0.4484,0.7109,0,train
3389,3390,1390,0.1484,0.9969,0.0000,0.9703,0,train
3390,3391,1390,0.1484,0.9969,0.0000,0.9703,0,train
3391,3392,1391,0.6355,0.9973,0.3406,0.8234,0,train
3392,3393,1392,0.1125,0.1922,0.8262,0.9395,0,train
3393,3394,1392,0.1836,0.2117,0.8590,0.9379,0,train
3394,3395,1392,0.4016,0.7766,0.5934,0.9160,0,train
3395,3396,1392,0.8398,0.9273,0.7836,0.8977,0,train
3396,3397,1392,0.9313,1.0000,0.6418,0.8879,0,train
3397,3398,1393,0.0000,0.9984,0.0000,0.9953,0,train
3398,3399,1393,0.4488,0.6402,0.2879,0.9980,0,train
3399,3400,1394,0.0000,0.8656,0.0547,0.9234,0,train
3400,3401,1395,0.0875,0.4813,0.1516,0.5031,0,train
3401,3402,1395,0.6824,0.9988,0.0012,0.7770,0,train
3402,3403,1396,0.0000,0.4859,0.2645,0.4637,0,train
3403,3404,1396,0.4734,0.9984,0.0000,0.9984,0,train
3404,3405,1397,0.0000,0.1234,0.3359,0.4797,0,train
3405,3406,1397,0.1629,0.2871,0.3438,0.4672,0,train
3406,3407,1397,0.6961,0.8383,0.3266,0.5297,0,train
3407,3408,1397,0.7812,0.9922,0.3004,0.5402,0,train
3408,3409,1398,0.3094,0.5156,0.3273,0.4742,0,train
3409,3410,1398,0.3094,0.5156,0.3273,0.4742,0,train
3410,3411,1398,0.0395,0.3090,0.3238,0.5168,0,train
3411,3412,1398,0.6641,0.8609,0.3629,0.4746,0,train
3412,3413,1399,0.5805,0.8945,0.3211,0.5289,0,train
3413,3414,1400,0.0402,0.9738,0.0648,0.9789,0,train
3414,3415,1400,0.0402,0.9738,0.0648,0.9789,0,train
3415,3416,1401,0.0000,0.1406,0.3418,0.6707,0,train
3416,3417,1401,0.0906,0.2859,0.2867,0.6461,0,train
3417,3418,1401,0.2836,0.3336,0.4246,0.5395,0,train
3418,3419,1401,0.3578,0.7016,0.0160,0.4199,0,train
3419,3420,1401,0.6840,0.8863,0.0000,0.7578,0,train
3420,3421,1401,0.8594,0.9812,0.0137,0.7379,0,train
3421,3422,1402,0.4688,0.9359,0.3746,0.6566,0,train
3422,3423,1402,0.4688,0.9359,0.3746,0.6566,0,train
3423,3424,1403,0.0000,0.1797,0.2598,0.7574,0,train
3424,3425,1403,0.1105,0.8207,0.0531,0.8328,0,train
3425,3426,1403,0.8074,0.8770,0.4316,0.7543,0,train
3426,3427,1403,0.8477,0.9273,0.5508,0.6836,0,train
3427,3428,1404,0.0414,0.9211,0.0641,0.9313,0,train
3428,3429,1405,0.0000,0.9984,0.0797,0.9734,0,train
3429,3430,1406,0.6953,1.0000,0.3121,0.5598,0,train
3430,3431,1406,0.0000,0.3812,0.2957,0.5355,0,train
3431,3432,1406,0.3750,0.4391,0.4297,0.4750,0,train
3432,3433,1406,0.4359,0.6141,0.3773,0.4742,0,train
3433,3434,1407,0.0012,0.9816,0.0551,0.8246,0,train
3434,3435,1408,0.0109,1.0000,0.0086,0.9617,0,train
3435,3436,1408,0.0109,1.0000,0.0086,0.9617,0,train
3436,3437,1409,0.0000,0.9984,0.0000,0.4297,0,train
3437,3438,1410,0.4809,0.8129,0.3473,0.6012,0,train
3438,3439,1410,0.0000,0.1797,0.4914,0.5930,0,train
3439,3440,1410,0.3035,0.3340,0.5129,0.5777,0,train
3440,3441,1410,0.3344,0.3703,0.4977,0.5773,0,train
3441,3442,1410,0.3672,0.4672,0.4934,0.5738,0,train
3442,3443,1410,0.4473,0.5137,0.5070,0.5711,0,train
3443,3444,1410,0.8305,0.9992,0.3492,0.5930,0,train
3444,3445,1411,0.2594,0.7938,0.1199,0.7254,0,train
3445,3446,1412,0.1625,0.8734,0.1816,0.8559,0,train
3446,3447,1413,0.0000,0.4078,0.5547,0.9313,0,train
3447,3448,1413,0.8746,0.9988,0.2070,0.9664,0,train
3448,3449,1414,0.2883,0.9586,0.1840,0.6801,0,train
3449,3450,1414,0.1246,0.2066,0.4621,0.5988,0,train
3450,3451,1414,0.1727,0.3617,0.3820,0.6195,0,train
3451,3452,1414,0.3305,0.5008,0.3977,0.6180,0,train
3452,3453,1414,0.5055,0.6852,0.3414,0.6336,0,train
3453,3454,1414,0.6945,0.9227,0.2594,0.6375,0,train
3454,3455,1414,0.9195,0.9992,0.1512,0.6551,0,train
3455,3456,1415,0.2109,0.8219,0.3625,0.6625,0,train
3456,3457,1415,0.0781,0.1750,0.5293,0.6160,0,train
3457,3458,1415,0.1641,0.2344,0.5129,0.6246,0,train
3458,3459,1415,0.8531,0.9031,0.5641,0.6156,0,train
3459,3460,1416,0.3082,0.4449,0.4031,0.6625,0,train
3460,3461,1416,0.0930,0.2852,0.4594,0.7031,0,train
3461,3462,1416,0.2723,0.3465,0.5094,0.6328,0,train
3462,3463,1416,0.4688,0.6172,0.4965,0.6926,0,train
3463,3464,1417,0.4742,0.6070,0.2687,0.3391,0,train
3464,3465,1417,0.5695,0.8180,0.2562,0.3453,0,train
3465,3466,1418,0.0000,0.1172,0.4660,0.5543,0,train
3466,3467,1418,0.1891,0.8531,0.4852,0.7414,0,train
3467,3468,1418,0.6953,0.9984,0.4121,0.6223,0,train
3468,3469,1419,0.5141,0.9984,0.3180,0.7039,0,train
3469,3470,1420,0.0242,0.9773,0.0805,0.7555,0,train
3470,3471,1420,0.0250,0.8984,0.5586,0.8211,0,train
3471,3472,1421,0.0000,0.3812,0.5211,0.9227,0,train
3472,3473,1421,0.4238,0.8543,0.4008,0.9211,0,train
3473,3474,1422,0.0367,0.9992,0.0004,0.7152,0,train
3474,3475,1423,0.0688,0.8313,0.1629,0.8137,0,train
3475,3476,1423,0.0688,0.8313,0.1629,0.8137,0,train
3476,3477,1424,0.0000,0.9984,0.0000,0.9453,0,train
3477,3478,1425,0.0074,0.1785,0.0004,0.8746,0,train
3478,3479,1425,0.3074,0.9988,0.0004,0.8449,0,train
3479,3480,1426,0.1344,0.5969,0.9266,0.9984,0,train
3480,3481,1426,0.3230,0.6645,0.7320,0.9258,0,train
3481,3482,1426,0.5758,0.9992,0.5992,0.9992,0,train
3482,3483,1427,0.0477,0.9773,0.0301,0.9699,0,train
3483,3484,1428,0.0102,0.2227,0.5258,0.6367,0,train
3484,3485,1428,0.3262,0.9988,0.0000,0.6328,0,train
3485,3486,1429,0.1930,0.9992,0.3066,0.9012,0,train
3486,3487,1430,0.0000,0.6203,0.0004,0.4918,0,train
3487,3488,1431,0.0152,0.1863,0.4562,0.6109,0,train
3488,3489,1431,0.1883,0.3305,0.3754,0.5809,0,train
3489,3490,1431,0.2605,0.4020,0.4113,0.5496,0,train
3490,3491,1431,0.3703,0.5969,0.3074,0.5473,0,train
3491,3492,1431,0.5500,0.9281,0.0836,0.5758,0,train
3492,3493,1431,0.8883,0.9992,0.0676,0.4090,0,train
3493,3494,1432,0.0023,0.3742,0.4926,0.6840,0,train
3494,3495,1432,0.3766,0.5234,0.4469,0.6891,0,train
3495,3496,1433,0.0797,0.2141,0.5094,0.7234,0,train
3496,3497,1433,0.1895,0.9996,0.1840,0.7270,0,train
3497,3498,1433,0.4879,0.7402,0.1297,0.7359,0,train
3498,3499,1433,0.7215,0.8520,0.1652,0.7238,0,train
3499,3500,1433,0.8914,0.9992,0.1922,0.6984,0,train
3500,3501,1434,0.0000,0.9984,0.0000,0.9984,0,train
3501,3502,1435,0.1035,0.9184,0.0121,0.9660,0,train
3502,3503,1436,0.4641,0.8000,0.0000,0.4375,0,train
3503,3504,1437,0.0000,0.6547,0.2168,0.8113,0,train
3504,3505,1437,0.6430,0.7852,0.4922,0.5797,0,train
3505,3506,1438,0.0805,0.4195,0.2723,0.5184,0,train
3506,3507,1439,0.0152,0.8082,0.1887,0.9113,0,train
3507,3508,1439,0.7258,0.9992,0.3523,0.8977,0,train
3508,3509,1440,0.0000,0.2047,0.0000,0.7063,0,train
3509,3510,1440,0.1922,0.6094,0.0000,0.7234,0,train
3510,3511,1440,0.5953,0.8594,0.0000,0.7625,0,train
3511,3512,1440,0.9473,0.9980,0.3672,0.4672,0,train
3512,3513,1441,0.0000,0.9984,0.0563,0.8141,0,train
3513,3514,1441,0.3715,0.4223,0.4500,0.7625,0,train
3514,3515,1442,0.0047,0.8859,0.0000,0.9422,0,train
3515,3516,1443,0.0703,0.9734,0.1340,0.9270,0,train
3516,3517,1444,0.1535,0.9152,0.0000,0.8656,0,train
3517,3518,1444,0.7129,0.7902,0.2867,0.8117,0,train
3518,3519,1444,0.7867,0.9336,0.3035,0.7902,0,train
3519,3520,1444,0.8922,1.0000,0.4813,0.7922,0,train
3520,3521,1445,0.0539,0.1242,0.2523,0.7102,0,train
3521,3522,1445,0.0984,0.1766,0.4383,0.5992,0,train
3522,3523,1445,0.1668,0.2832,0.3781,0.6484,0,train
3523,3524,1445,0.2242,0.3664,0.2906,0.7188,0,train
3524,3525,1445,0.2953,0.6469,0.1422,0.7219,0,train
3525,3526,1445,0.6246,0.9457,0.2004,0.6840,0,train
3526,3527,1445,0.7969,0.9328,0.1516,0.4641,0,train
3527,3528,1446,0.3336,0.9352,0.1672,0.6359,0,train
3528,3529,1447,0.0551,0.9996,0.0938,0.8234,0,train
3529,3530,1447,0.8477,0.9992,0.3203,0.8422,0,train
3530,3531,1448,0.0852,0.4648,0.3070,0.8367,0,train
3531,3532,1448,0.4914,0.9992,0.3355,0.7988,0,train
3532,3533,1449,0.0000,0.9984,0.0000,0.9984,0,train
3533,3534,1450,0.1430,0.2648,0.5898,0.7180,0,train
3534,3535,1450,0.3055,0.6195,0.4230,0.7223,0,train
3535,3536,1450,0.6105,0.6895,0.6086,0.6977,0,train
3536,3537,1450,0.7219,0.8391,0.6160,0.7168,0,train
3537,3538,1451,0.0000,0.0625,0.4465,0.7566,0,train
3538,3539,1451,0.0406,1.0000,0.0000,0.9984,0,train
3539,3540,1452,0.0000,0.0625,0.3898,0.4680,0,train
3540,3541,1452,0.1145,0.2043,0.4273,0.5070,0,train
3541,3542,1452,0.1277,0.2098,0.5449,0.6363,0,train
3542,3543,1452,0.1445,0.2242,0.6305,0.7320,0,train
3543,3544,1452,0.2191,0.2355,0.2660,0.3090,0,train
3544,3545,1452,0.2281,0.3078,0.6328,0.7031,0,train
3545,3546,1452,0.2602,0.3477,0.5738,0.7824,0,train
3546,3547,1452,0.2641,0.3234,0.4035,0.4605,0,train
3547,3548,1452,0.2723,0.3199,0.2980,0.3395,0,train
3548,3549,1452,0.3008,0.3383,0.3516,0.4313,0,train
3549,3550,1452,0.3145,0.3449,0.2691,0.2949,0,train
3550,3551,1452,0.3293,0.4379,0.4105,0.5488,0,train
3551,3552,1452,0.3508,0.5461,0.6371,0.7910,0,train
3552,3553,1452,0.3648,0.5742,0.5582,0.6809,0,train
3553,3554,1452,0.3844,0.4125,0.3422,0.3953,0,train
3554,3555,1452,0.4016,0.4422,0.2879,0.3246,0,train
3555,3556,1452,0.4133,0.4602,0.3332,0.3980,0,train
3556,3557,1452,0.4633,0.4992,0.3500,0.3953,0,train
3557,3558,1452,0.4738,0.6105,0.4371,0.4973,0,train
3558,3559,1452,0.4801,0.6199,0.4938,0.6016,0,train
3559,3560,1452,0.5000,0.5750,0.6203,0.8016,0,train
3560,3561,1452,0.5055,0.5445,0.3551,0.4137,0,train
3561,3562,1452,0.5383,0.5789,0.3918,0.4582,0,train
3562,3563,1452,0.5609,0.6000,0.3059,0.3504,0,train
3563,3564,1452,0.5648,0.6617,0.7191,0.9355,0,train
3564,3565,1452,0.5688,0.6250,0.3734,0.4141,0,train
3565,3566,1452,0.6090,0.6551,0.3969,0.6781,0,train
3566,3567,1452,0.6445,0.7477,0.8152,0.9051,0,train
3567,3568,1452,0.6438,0.9313,0.3773,0.7305,0,train
3568,3569,1452,0.6449,0.6754,0.3867,0.5055,0,train
3569,3570,1452,0.6688,0.6891,0.2742,0.3273,0,train
3570,3571,1452,0.6809,0.9582,0.7848,0.9996,0,train
3571,3572,1452,0.7254,0.7574,0.3984,0.4531,0,train
3572,3573,1452,0.7945,0.8742,0.2914,0.3461,0,train
3573,3574,1452,0.8902,0.9988,0.6773,0.9727,0,train
3574,3575,1453,0.0020,0.8605,0.0000,0.7688,0,train
3575,3576,1454,0.0109,0.1984,0.4930,0.6398,0,train
3576,3577,1454,0.2023,0.3273,0.5270,0.6340,0,train
3577,3578,1454,0.7859,0.8828,0.5687,0.6453,0,train
3578,3579,1454,0.9492,0.9977,0.5484,0.6641,0,train
3579,3580,1455,0.0648,0.9992,0.3027,0.6910,0,train
3580,3581,1456,0.0301,0.9684,0.0195,0.7211,0,train
3581,3582,1457,0.0012,0.2207,0.2504,0.8215,0,train
3582,3583,1457,0.2117,0.4117,0.0637,0.9613,0,train
3583,3584,1457,0.4117,0.6555,0.0676,0.9621,0,train
3584,3585,1457,0.6551,0.8543,0.1117,0.9430,0,train
3585,3586,1458,0.0297,0.1859,0.1773,0.7805,0,train
3586,3587,1458,0.1699,0.8113,0.0172,0.8812,0,train
3587,3588,1458,0.7930,0.9992,0.2340,0.8473,0,train
3588,3589,1459,0.0000,0.0688,0.2359,0.5953,0,train
3589,3590,1459,0.0531,0.7000,0.1391,0.7469,0,train
3590,3591,1459,0.7117,0.8992,0.3898,0.5211,0,train
3591,3592,1460,0.0000,0.9984,0.0000,0.9750,0,train
3592,3593,1461,0.0000,0.2672,0.3672,0.6766,0,train
3593,3594,1461,0.2668,0.7020,0.4344,0.6609,0,train
3594,3595,1462,0.2039,0.9617,0.0500,0.8844,0,train
3595,3596,1463,0.0273,0.9555,0.3453,0.6672,0,train
3596,3597,1464,0.0793,0.8363,0.0090,0.7879,0,train
3597,3598,1465,0.1680,0.4492,0.3660,0.6355,0,train
3598,3599,1466,0.0367,0.9992,0.1910,0.8840,0,train
3599,3600,1467,0.0000,0.9969,0.0062,0.9125,0,train
3600,3601,1468,0.1844,0.7547,0.3680,0.5211,0,train
3601,3602,1469,0.0000,0.5813,0.4152,0.9973,0,train
3602,3603,1469,0.1180,0.2367,0.3508,0.6117,0,train
3603,3604,1469,0.2121,0.8848,0.0043,0.6738,0,train
3604,3605,1469,0.3383,0.4758,0.6254,0.6793,0,train
3605,3606,1469,0.4188,0.7312,0.6387,0.9988,0,train
3606,3607,1469,0.6273,0.9945,0.3578,0.9922,0,train
3607,3608,1470,0.1395,0.7262,0.1320,0.6398,0,train
3608,3609,1471,0.0207,0.9559,0.0477,0.8977,0,train
3609,3610,1472,0.0000,0.9984,0.0000,0.9609,0,train
3610,3611,1473,0.0000,0.9984,0.0000,0.9984,0,train
3611,3612,1474,0.0066,0.9996,0.0875,0.8938,0,train
3612,3613,1475,0.0727,0.7883,0.0211,0.7617,0,train
3613,3614,1476,0.2313,0.6656,0.0512,0.6160,0,train
3614,3615,1476,0.5750,0.8719,0.3074,0.6410,0,train
3615,3616,1476,0.8707,0.9996,0.5113,0.8184,0,train
3616,3617,1477,0.1375,1.0000,0.0070,0.9742,0,train
3617,3618,1478,0.0000,0.0656,0.4625,0.7469,0,train
3618,3619,1478,0.0348,0.7996,0.1297,0.8625,0,train
3619,3620,1479,0.0000,0.5031,0.0000,0.9984,0,train
3620,3621,1479,0.4328,0.6281,0.2953,0.4969,0,train
3621,3622,1480,0.4102,0.7633,0.1945,0.5539,0,train
3622,3623,1481,0.5996,0.7676,0.3328,0.4547,0,train
3623,3624,1482,0.0000,0.9984,0.0000,0.9984,0,train
3624,3625,1483,0.0000,0.4250,0.5734,0.9563,0,train
3625,3626,1484,0.1437,0.8328,0.2188,0.8047,0,train
3626,3627,1485,0.0000,0.5219,0.1703,0.8109,0,train
3627,3628,1485,0.5191,0.6246,0.5176,0.7324,0,train
3628,3629,1486,0.2121,0.7207,0.6777,0.9832,0,train
3629,3630,1486,0.0000,0.9984,0.3391,0.9969,0,train
3630,3631,1487,0.5289,0.5930,0.5887,0.6723,0,train
3631,3632,1487,0.6293,0.7488,0.5832,0.7418,0,train
3632,3633,1487,0.7707,0.8465,0.3645,0.4918,0,train
3633,3634,1487,0.8641,0.8891,0.5684,0.6176,0,train
3634,3635,1487,0.8793,0.9285,0.4848,0.5355,0,train
3635,3636,1487,0.9250,0.9953,0.5707,0.6199,0,train
3636,3637,1487,0.9262,0.9707,0.4906,0.5281,0,train
3637,3638,1487,0.9707,0.9980,0.4875,0.5406,0,train
3638,3639,1488,0.0000,0.9984,0.4520,0.9996,0,train
3639,3640,1489,0.2961,0.9352,0.0812,0.7219,0,train
3640,3641,1490,0.0000,0.9984,0.0000,0.9969,0,train
3641,3642,1491,0.0012,0.3879,0.0922,0.6781,0,train
3642,3643,1491,0.3672,0.6766,0.1273,0.6789,0,train
3643,3644,1492,0.0453,0.8719,0.0000,0.9234,0,train
3644,3645,1493,0.1707,0.9996,0.0000,0.4359,0,train
3645,3646,1494,0.0336,0.4461,0.4297,0.6906,0,train
3646,3647,1495,0.0000,0.0703,0.4945,0.7617,0,train
3647,3648,1495,0.7285,0.9980,0.2336,0.7008,0,train
3648,3649,1496,0.0000,0.1938,0.3242,0.7992,0,train
3649,3650,1496,0.0953,1.0000,0.2301,0.8262,0,train
3650,3651,1497,0.7773,0.9648,0.2320,0.3961,0,train
3651,3652,1497,0.1727,0.5445,0.2031,0.4922,0,train
3652,3653,1498,0.1438,0.8750,0.2437,0.7250,0,train
3653,3654,1499,0.8812,0.9906,0.3660,0.6746,0,train
3654,3655,1499,0.0000,0.1313,0.1789,0.7414,0,train
3655,3656,1499,0.1246,0.4957,0.3102,0.7461,0,train
3656,3657,1499,0.2910,0.5715,0.2707,0.7012,0,train
3657,3658,1499,0.5359,0.6328,0.3840,0.7035,0,train
3658,3659,1499,0.5918,0.6691,0.4402,0.6645,0,train
3659,3660,1499,0.6105,0.7035,0.4406,0.6922,0,train
3660,3661,1499,0.6480,0.7535,0.4523,0.6883,0,train
3661,3662,1500,0.0324,0.9535,0.4516,0.6469,0,train
3662,3663,1501,0.0000,0.9984,0.0070,0.9992,0,train
3663,3664,1502,0.0004,0.5168,0.0652,0.5910,0,train
3664,3665,1502,0.5168,0.5832,0.3672,0.6000,0,train
3665,3666,1502,0.6273,0.7023,0.4539,0.5711,0,train
3666,3667,1502,0.6984,0.7562,0.4285,0.6043,0,train
3667,3668,1503,0.0000,0.8219,0.0000,0.9984,0,train
3668,3669,1504,0.0496,0.9020,0.3059,0.6629,0,train
3669,3670,1505,0.0344,0.2875,0.4887,0.8660,0,train
3670,3671,1506,0.4109,0.5563,0.3484,0.6500,0,train
3671,3672,1506,0.0000,0.0437,0.4875,0.5719,0,train
3672,3673,1506,0.0344,0.0672,0.4813,0.5766,0,train
3673,3674,1506,0.0500,0.0813,0.4734,0.5781,0,train
3674,3675,1506,0.0703,0.1125,0.4625,0.5797,0,train
3675,3676,1506,0.1000,0.1344,0.4453,0.5813,0,train
3676,3677,1506,0.1297,0.1734,0.4516,0.5906,0,train
3677,3678,1506,0.1641,0.2094,0.4437,0.5828,0,train
3678,3679,1506,0.1938,0.2516,0.4422,0.6031,0,train
3679,3680,1506,0.2359,0.2922,0.4188,0.5984,0,train
3680,3681,1506,0.2734,0.3859,0.4047,0.6063,0,train
3681,3682,1506,0.3469,0.4484,0.4063,0.6234,0,train
3682,3683,1506,0.5250,0.7359,0.3125,0.6687,0,train
3683,3684,1506,0.6672,0.9797,0.2703,0.7047,0,train
3684,3685,1506,0.9062,0.9984,0.2516,0.7172,0,train
3685,3686,1507,0.0000,0.7359,0.0582,0.5543,0,train
3686,3687,1508,0.0000,0.9984,0.0039,0.9992,0,train
3687,3688,1509,0.6680,0.8961,0.2125,0.4531,0,train
3688,3689,1509,0.8641,0.9984,0.2012,0.4254,0,train
3689,3690,1510,0.3953,0.9359,0.0742,0.7070,0,train
3690,3691,1511,0.2043,0.8301,0.1168,0.7316,0,train
3691,3692,1512,0.0406,0.4734,0.1820,0.7367,0,train
3692,3693,1512,0.0406,0.4734,0.1820,0.7367,0,train
3693,3694,1513,0.0199,0.2395,0.1570,0.4930,0,train
3694,3695,1513,0.1863,0.9355,0.0004,0.9168,0,train
3695,3696,1514,0.6187,0.8938,0.3980,0.6645,0,train
3696,3697,1514,0.2270,0.4340,0.3957,0.5871,0,train
3697,3698,1514,0.2660,0.6184,0.4426,0.6605,0,train
3698,3699,1515,0.0000,0.8688,0.0953,0.6469,0,train
3699,3700,1516,0.1012,0.6910,0.2984,0.6656,0,train
3700,3701,1516,0.4844,0.9172,0.2613,0.6824,0,train
3701,3702,1516,0.8305,0.9992,0.3809,0.6707,0,train
3702,3703,1517,0.0250,0.2375,0.2734,0.7469,0,train
3703,3704,1518,0.0000,0.6297,0.3289,0.8148,0,train
3704,3705,1518,0.5398,0.9992,0.2750,0.8812,0,train
3705,3706,1519,0.0887,0.8816,0.0594,0.8266,0,train
3706,3707,1520,0.0000,0.0406,0.3711,0.5664,0,train
3707,3708,1520,0.9547,0.9984,0.3312,0.6125,0,train
3708,3709,1521,0.0000,0.1187,0.5664,0.8586,0,train
3709,3710,1521,0.0000,0.2203,0.8734,0.9984,0,train
3710,3711,1521,0.0832,0.2621,0.4816,0.7309,0,train
3711,3712,1521,0.1223,0.9996,0.8305,0.9992,0,train
3712,3713,1521,0.4754,0.9996,0.0547,0.8484,0,train
3713,3714,1522,0.1227,0.1445,0.4715,0.5363,0,train
3714,3715,1522,0.1465,0.9988,0.2473,0.5793,0,train
3715,3716,1523,0.0000,0.1594,0.1355,0.5410,0,train
3716,3717,1523,0.0934,0.4410,0.1766,0.5594,0,train
3717,3718,1523,0.3535,0.6121,0.1883,0.5070,0,train
3718,3719,1523,0.5613,0.6855,0.2484,0.4453,0,train
3719,3720,1523,0.6492,0.7617,0.2582,0.4527,0,train
3720,3721,1523,0.7426,0.8277,0.2555,0.4508,0,train
3721,3722,1523,0.7980,0.8723,0.2555,0.4148,0,train
3722,3723,1523,0.8270,0.9043,0.3574,0.4488,0,train
3723,3724,1523,0.8477,0.9180,0.2641,0.4203,0,train
3724,3725,1523,0.9020,0.9965,0.2734,0.4109,0,train
3725,3726,1524,0.0000,0.0437,0.6387,0.7473,0,train
3726,3727,1524,0.0000,0.0453,0.4398,0.5133,0,train
3727,3728,1524,0.0000,0.0719,0.6020,0.6652,0,train
3728,3729,1524,0.0000,0.0938,0.5219,0.5938,0,train
3729,3730,1524,0.0000,0.1641,0.2172,0.3078,0,train
3730,3731,1524,0.0020,0.0996,0.3547,0.3953,0,train
3731,3732,1524,0.0367,0.1367,0.3934,0.4504,0,train
3732,3733,1524,0.0387,0.2457,0.8762,0.9988,0,train
3733,3734,1524,0.0727,0.2414,0.7434,0.8723,0,train
3734,3735,1524,0.0734,0.1437,0.5938,0.6672,0,train
3735,3736,1524,0.1059,0.1723,0.5383,0.6039,0,train
3736,3737,1524,0.1055,0.1883,0.4590,0.5410,0,train
3737,3738,1524,0.1172,0.1813,0.6867,0.7320,0,train
3738,3739,1524,0.1258,0.1570,0.3375,0.3797,0,train
3739,3740,1524,0.1523,0.2008,0.3379,0.3730,0,train
3740,3741,1524,0.1586,0.5695,0.2008,0.3227,0,train
3741,3742,1524,0.1668,0.2754,0.6406,0.7094,0,train
3742,3743,1524,0.1707,0.2340,0.5398,0.6117,0,train
3743,3744,1524,0.1715,0.2379,0.3688,0.3969,0,train
3744,3745,1524,0.2039,0.2883,0.4801,0.5402,0,train
3745,3746,1524,0.2109,0.3484,0.8762,0.9988,0,train
3746,3747,1524,0.2133,0.2852,0.6195,0.6648,0,train
3747,3748,1524,0.2211,0.2664,0.3309,0.3660,0,train
3748,3749,1524,0.2375,0.2969,0.4062,0.4547,0,train
3749,3750,1524,0.2402,0.2941,0.8262,0.8645,0,train
3750,3751,1524,0.2465,0.3254,0.5422,0.6391,0,train
3751,3752,1524,0.2672,0.2922,0.3629,0.3934,0,train
3752,3753,1524,0.2754,0.3340,0.6500,0.7016,0,train
3753,3754,1524,0.2844,0.3438,0.8105,0.8691,0,train
3754,3755,1524,0.3000,0.4625,0.4785,0.5402,0,train
3755,3756,1524,0.3020,0.3793,0.3234,0.3750,0,train
3756,3757,1524,0.3109,0.3359,0.4090,0.4395,0,train
3757,3758,1524,0.3168,0.3707,0.7426,0.7980,0,train
3758,3759,1524,0.3195,0.3758,0.3723,0.4043,0,train
3759,3760,1524,0.3281,0.4406,0.5523,0.6445,0,train
3760,3761,1524,0.3441,0.3918,0.4238,0.4777,0,train
3761,3762,1524,0.3488,0.4027,0.6961,0.7461,0,train
3762,3763,1524,0.3602,0.4180,0.7422,0.8094,0,train
3763,3764,1524,0.3602,0.4305,0.3910,0.4262,0,train
3764,3765,1524,0.3926,0.4309,0.4273,0.4461,0,train
3765,3766,1524,0.3977,0.4914,0.7398,0.8320,0,train
3766,3767,1524,0.4039,0.4648,0.6820,0.7461,0,train
3767,3768,1524,0.4336,0.4820,0.5473,0.5824,0,train
3768,3769,1524,0.4387,0.4770,0.5844,0.6516,0,train
3769,3770,1524,0.4414,0.4711,0.4414,0.4664,0,train
3770,3771,1524,0.4422,0.4797,0.3273,0.3555,0,train
3771,3772,1524,0.4555,0.4852,0.3980,0.4270,0,train
3772,3773,1524,0.4566,0.5230,0.6594,0.7031,0,train
3773,3774,1524,0.4621,0.5332,0.6844,0.7328,0,train
3774,3775,1524,0.4695,0.5242,0.5961,0.6383,0,train
3775,3776,1524,0.4711,0.5570,0.6367,0.6789,0,train
3776,3777,1524,0.4746,0.5051,0.4430,0.4680,0,train
3777,3778,1524,0.5020,0.5480,0.3984,0.4266,0,train
3778,3779,1524,0.5109,0.6172,0.4559,0.5379,0,train
3779,3780,1524,0.5207,0.7199,0.8594,0.9984,0,train
3780,3781,1524,0.5293,0.5535,0.3344,0.3563,0,train
3781,3782,1524,0.5289,0.5945,0.5902,0.6441,0,train
3782,3783,1524,0.5516,0.6062,0.3262,0.3551,0,train
3783,3784,1524,0.5512,0.8160,0.3051,0.4309,0,train
